red_file,blue_file,score_red,score_blue,score,weight,points_red,points_blue,steps,ammo_red,ammo_blue
agents/Django.py,domination/agent.py,100,0,1.0,1.878787878787879,3.757575757575758,0,37,5,2
agents/Django.py,domination/agent.py,100,0,1.0,1.898989898989899,3.797979797979798,0,116,10,7
agents/Django.py,domination/agent.py,100,0,1.0,1.9191919191919191,3.8383838383838382,0,140,6,12
agents/Django.py,domination/agent.py,100,0,1.0,1.9393939393939394,3.878787878787879,0,81,6,5
agents/Django.py,domination/agent.py,100,0,1.0,1.9595959595959596,3.919191919191919,0,103,8,5
agents/Django.py,domination/agent.py,100,0,1.0,1.97979797979798,3.95959595959596,0,49,4,2
agents/Django.py,domination/agent.py,100,0,1.0,2.0,4.0,0,33,2,2
domination/agent.py,agents/Django.py,0,100,0.0,0.0,0,0.0,192,17,9
domination/agent.py,agents/Django.py,0,100,0.0,0.020202020202020204,0,0.04040404040404041,38,4,2
domination/agent.py,agents/Django.py,0,100,0.0,0.04040404040404041,0,0.08080808080808081,76,4,5
domination/agent.py,agents/Django.py,0,100,0.0,0.06060606060606061,0,0.12121212121212122,66,6,3
domination/agent.py,agents/Django.py,0,100,0.0,0.08080808080808081,0,0.16161616161616163,34,3,2
domination/agent.py,agents/Django.py,100,0,1.0,0.10101010101010101,0.20202020202020202,0,58,5,4
domination/agent.py,agents/Django.py,0,100,0.0,0.12121212121212122,0,0.24242424242424243,82,8,4
domination/agent.py,agents/Django.py,0,100,0.0,0.1414141414141414,0,0.2828282828282828,42,3,3
domination/agent.py,agents/Django.py,0,100,0.0,0.16161616161616163,0,0.32323232323232326,73,5,5
domination/agent.py,agents/Django.py,0,100,0.0,0.18181818181818182,0,0.36363636363636365,199,11,16
domination/agent.py,agents/Django.py,0,100,0.0,0.20202020202020202,0,0.40404040404040403,229,17,13
domination/agent.py,agents/Django.py,0,100,0.0,0.2222222222222222,0,0.4444444444444444,97,10,4
domination/agent.py,agents/Django.py,0,100,0.0,0.24242424242424243,0,0.48484848484848486,34,4,0
domination/agent.py,agents/Django.py,0,100,0.0,0.26262626262626265,0,0.5252525252525253,69,6,4
domination/agent.py,agents/Django.py,0,100,0.0,0.2828282828282828,0,0.5656565656565656,82,6,5
domination/agent.py,agents/Django.py,0,100,0.0,0.30303030303030304,0,0.6060606060606061,48,3,2
domination/agent.py,agents/Django.py,0,100,0.0,0.32323232323232326,0,0.6464646464646465,48,3,2
domination/agent.py,agents/Django.py,0,100,0.0,0.3434343434343434,0,0.6868686868686869,55,4,2
